Evidence_ID,Bronze,Domain,Level,Measurement / observation,Author interpretation / meaning,Hypothesis relevance,Direction hint (pre-TIF),Original_Dependency_Group,Evidence_Family,Revised_Dependency_Group,Dependency_Note,Source_ID,Location in source,Source URL,Public access,Evidence nature
E017,A,radiocarbon,L1,"After removing the three outliers, preliminary combination gives 517–394 cal BC at 2σ.","Supports a Classical-period chronology, but with broad interval.",chronology,supports 5th c. BC broadly,DG-C14-combined,FAM-C14-CEDAD,DG-C14-A-2010,Combined result after handling E016 outliers; not independent of E016.,S02,p. 1032; Fig. 3,https://www.academia.edu/3821927/L_Calcagnile_M_DElia_G_Quarta_M_Vidale_Radiocarbon_dating_of_ancient_bronze_statues_Preliminary_results_from_the_Riace_statues,Downloadable public PDF,Primary statistical result
E018,B,radiocarbon,L1,Preliminary combination gives 509–394 cal BC at 2σ.,"Supports a Classical-period chronology, but with broad interval.",chronology,supports 5th c. BC broadly,DG-C14-combined,FAM-C14-CEDAD,DG-C14-B-2010,Combined result from the same B dataset described in E015.,S02,p. 1032; Fig. 3,https://www.academia.edu/3821927/L_Calcagnile_M_DElia_G_Quarta_M_Vidale_Radiocarbon_dating_of_ancient_bronze_statues_Preliminary_results_from_the_Riace_statues,Downloadable public PDF,Primary statistical result
E019,A and B,radiocarbon,L2,The 2010 authors state that the AMS results reject the hypothesis that the Riace Bronzes were Roman works purposefully created in the 1st century BC in neo-Attic fashion.,Provides strong negative evidence against a 1st-century BC neo-Attic manufacture.,chronology,contradicts 1st c. BC manufacture,DG-C14-interpretation,FAM-C14-CEDAD,DG-C14-INTERP-2010,Historical interpretation derived from the same AMS results as the fifth-century compatibility statement now split into E056.,S02,"p. 1033, Conclusions",https://www.academia.edu/3821927/L_Calcagnile_M_DElia_G_Quarta_M_Vidale_Radiocarbon_dating_of_ancient_bronze_statues_Preliminary_results_from_the_Riace_statues,Downloadable public PDF,Author interpretation from AMS results
E020,A and B,radiocarbon / IBA,L0,2012 study used 47 casting-core specimens; organic material was obtained from 13 A and 12 B samples.,Expands the empirical basis beyond the preliminary 2010 study.,chronology / composition,neutral/structural,DG-2012-samples,FAM-C14-CEDAD,DG-C14-2012-BASIS,2012 expansion of the CEDAD programme; partly reuses/extends 2010 evidence.,S03,"p. 803, Methods; Table 1",https://www.academia.edu/47691653/Integrating_Non_Destructive_Ion_Beam_Analysis_Methods_and_AMS_Radiocarbon_Dating_for_the_Study_of_Ancient_Bronze_Statues,Free public PDF,Primary experimental
E021,B,radiocarbon,L1,No sufficient organic material could be extracted from the casting cores inside the right arm of B for AMS dating.,Creates explicit missing-data uncertainty for the chronology of the altered/restored arm.,chronology of restoration,missing data,DG-B-right-arm,FAM-C14-CEDAD,DG-C14-B-RIGHTARM,Explicit missing-data limitation for B right arm.,S03,"p. 803, Methods",https://www.academia.edu/47691653/Integrating_Non_Destructive_Ion_Beam_Analysis_Methods_and_AMS_Radiocarbon_Dating_for_the_Study_of_Ancient_Bronze_Statues,Free public PDF,Primary experimental limitation
E022,A,radiocarbon,L1,2012 combined range: 512–398 BC (95.4%) from 10 accepted ages.,Confirms 5th-century range but not fine dating.,chronology,supports 5th c. BC broadly,DG-C14-2012,FAM-C14-CEDAD,DG-C14-A-2012,Expanded A age combination; related to 2010 programme.,S03,"p. 805, Results; Fig. 1",https://www.academia.edu/47691653/Integrating_Non_Destructive_Ion_Beam_Analysis_Methods_and_AMS_Radiocarbon_Dating_for_the_Study_of_Ancient_Bronze_Statues,Free public PDF,Primary statistical result
E023,B,radiocarbon,L1,2012 combined range: 511–400 BC (95.4%) from 12 ages.,Confirms 5th-century range but not fine dating.,chronology,supports 5th c. BC broadly,DG-C14-2012,FAM-C14-CEDAD,DG-C14-B-2012,Expanded B age combination; related to 2010 programme.,S03,"p. 805, Results; Fig. 2",https://www.academia.edu/47691653/Integrating_Non_Destructive_Ion_Beam_Analysis_Methods_and_AMS_Radiocarbon_Dating_for_the_Study_of_Ancient_Bronze_Statues,Free public PDF,Primary statistical result
E024,A vs B,radiocarbon,L1/L2,Combined conventional 14C ages are essentially indistinguishable; calibration plateau yields ~century-wide ranges.,Data cannot test the expected ~30-year stylistic age difference between A and B.,relative chronology A/B,indeterminate,DG-C14-resolution,FAM-C14-CEDAD,DG-C14-RELATIVE,Derived from the resolution of E022/E023; not independent.,S03,"pp. 805–806, Results",https://www.academia.edu/47691653/Integrating_Non_Destructive_Ion_Beam_Analysis_Methods_and_AMS_Radiocarbon_Dating_for_the_Study_of_Ancient_Bronze_Statues,Free public PDF,Primary result + methodological limitation
E025,A and B,core composition,L0,"PIXE/PIGE detected Cl, K, Ca, Ti, Mn, Fe, Cu, Zn, As, Rb, Sr, Y, Zr, Pb, Sn plus F, Na, Al and Si.",Defines the multielement compositional feature set.,production provenance,measurement basis,DG-IBA,FAM-IBA-2012,DG-IBA-FEATURES,Measurement feature set in the 2012 IBA study.,S03,pp. 807–809; Fig. 3 / Table 3,https://www.academia.edu/47691653/Integrating_Non_Destructive_Ion_Beam_Analysis_Methods_and_AMS_Radiocarbon_Dating_for_the_Study_of_Ancient_Bronze_Statues,Free public PDF,Primary experimental
E026,A and B,core composition,L1,"Cu, Sn, Pb and Cl were treated as contamination/corrosion/sea-salt related and excluded from provenance discrimination.",Important methodological rule for future feature selection.,production provenance,methodological constraint,DG-IBA,FAM-IBA-2012,DG-IBA-FEATURES,Feature-exclusion rule from the same measurement set.,S03,"p. 807, Results",https://www.academia.edu/47691653/Integrating_Non_Destructive_Ion_Beam_Analysis_Methods_and_AMS_Radiocarbon_Dating_for_the_Study_of_Ancient_Bronze_Statues,Free public PDF,Methodological interpretation
E027,A vs B,core composition,L1,"Base material in both is silica- and calcium-rich silty marl, with significant compositional differences; A has higher Si, Al and Fe.",Supports material difference within a broadly similar material class.,relation A/B / provenance,difference,DG-IBA,FAM-IBA-2012,DG-IBA-CORE-COMP,A/B compositional comparison.,S03,pp. 808–809,https://www.academia.edu/47691653/Integrating_Non_Destructive_Ion_Beam_Analysis_Methods_and_AMS_Radiocarbon_Dating_for_the_Study_of_Ancient_Bronze_Statues,Free public PDF,Primary experimental
E028,A vs B,core composition,L0/L1,Average CaO is about 16 wt% in A and 31 wt% in B (approximately 1:2).,Quantifies a major compositional separation.,relation A/B,difference,DG-IBA,FAM-IBA-2012,DG-IBA-CORE-COMP,Numerical CaO contrast underlying the same A/B comparison.,S03,Table 3,https://www.academia.edu/47691653/Integrating_Non_Destructive_Ion_Beam_Analysis_Methods_and_AMS_Radiocarbon_Dating_for_the_Study_of_Ancient_Bronze_Statues,Free public PDF,Primary numerical result
E029,A vs B,core composition,L0/L1,Average Sr is about 60 ppm in A and 479 ppm in B; paper describes an approximate 1:8 ratio.,Quantifies trace-element separation of A and B.,relation A/B,difference,DG-IBA,FAM-IBA-2012,DG-IBA-CORE-COMP,Numerical Sr contrast underlying the same A/B comparison.,S03,Table 3; Fig. 5,https://www.academia.edu/47691653/Integrating_Non_Destructive_Ion_Beam_Analysis_Methods_and_AMS_Radiocarbon_Dating_for_the_Study_of_Ancient_Bronze_Statues,Free public PDF,Primary numerical result
E030,B,right-arm restoration,L1,Right-arm core samples have significantly different chemistry from the rest of B.,Supports an ancient alteration/restoration of the right arm.,restoration history,supports restoration,DG-B-right-arm,FAM-IBA-2012,DG-IBA-B-RIGHTARM,B right-arm chemical difference.,S03,pp. 809–811,https://www.academia.edu/47691653/Integrating_Non_Destructive_Ion_Beam_Analysis_Methods_and_AMS_Radiocarbon_Dating_for_the_Study_of_Ancient_Bronze_Statues,Free public PDF,Primary experimental
E031,B,right-arm restoration,L0/L1,Right-arm material shows very high sulfate: SO4 about 21 wt% vs 0.4–0.6 wt% in main cores.,Authors interpret it as a gypsum-rich matrix associated with ancient modification.,restoration history,supports distinct restoration material,DG-B-right-arm,FAM-IBA-2012,DG-IBA-B-RIGHTARM,Sulfate result from the same right-arm subset.,S03,Table 3; Results,https://www.academia.edu/47691653/Integrating_Non_Destructive_Ion_Beam_Analysis_Methods_and_AMS_Radiocarbon_Dating_for_the_Study_of_Ancient_Bronze_Statues,Free public PDF,Primary numerical result + interpretation
E032,A vs B vs B arm,multivariate composition,L1,"PCA first two components explain >76% variance and separate three clusters: A, B, and B right arm.",Strong multivariate evidence for three compositional populations.,relation A/B / restoration,difference,DG-PCA,FAM-IBA-2012,DG-IBA-B-RIGHTARM,PCA uses the same compositional dataset; do not count as independent from E030/E031.,S03,pp. 809–811; Fig. 6,https://www.academia.edu/47691653/Integrating_Non_Destructive_Ion_Beam_Analysis_Methods_and_AMS_Radiocarbon_Dating_for_the_Study_of_Ancient_Bronze_Statues,Free public PDF,Primary statistical result
E033,A and B,casting core,L0,"Jones et al. analysed 21 core samples plus two black-varnish sherds using ICP-ES, petrography and SEM.",Provides a later independent/extended compositional dataset.,production provenance,neutral/structural,DG-Jones2016,FAM-CORE-2016,DG-J16-SAMPLES,Sampling/method basis of the 2016 core study.,S04,pp. 22–24; Table 1,https://www.researchgate.net/publication/311807534_The_Riace_bronzes_recent_work_on_the_clay_cores,Public full text,Primary experimental
E034,A vs B,core composition,L1,Both statues show low Al and relatively low Fe but high Ca; Ca-Al plotting clearly separates A and B.,Confirms earlier compositional distinction.,relation A/B,difference,DG-Jones2016,FAM-CORE-2016,DG-J16-CORE-COMP,A/B core comparison in 2016 dataset.,S04,"p. 22, Chemical results",https://www.researchgate.net/publication/311807534_The_Riace_bronzes_recent_work_on_the_clay_cores,Public full text,Primary experimental
E035,A,welding clay,L1,A2228 and A2233 are non-calcareous reddish clays deliberately associated by the authors with neck/armpit welding joints.,Separates welding material from main casting core.,assembly / welding,supports distinct welding material,DG-A-weld,FAM-CORE-2016,DG-J16-A-WELD,A welding-clay subset.,S04,"p. 22, Chemical results",https://www.researchgate.net/publication/311807534_The_Riace_bronzes_recent_work_on_the_clay_cores,Public full text,Primary experimental + interpretation
E036,B,core composition,L1,"Four right-arm samples (648, 659, 662, 663) form a discrete chemical group; with 654 they are pale/crumbly and lead-rich.",Supports later replacement/restoration of B right arm.,restoration history,supports restoration,DG-B-right-arm,FAM-CORE-2016,DG-J16-B-RIGHTARM,B right-arm subset.,S04,"pp. 22–23, Chemical results",https://www.researchgate.net/publication/311807534_The_Riace_bronzes_recent_work_on_the_clay_cores,Public full text,Primary experimental
E037,A vs B,provenance,L2,Differences in Co and Ni are considered small enough to suggest general similarity in origin.,Supports broad relatedness of source region despite other differences.,relation A/B / provenance,supports broad similarity,DG-Jones-provenance,FAM-CORE-2016,DG-J16-CORE-COMP,Broad-origin interpretation derived from same A/B chemical data.,S04,"p. 23, Chemical results",https://www.researchgate.net/publication/311807534_The_Riace_bronzes_recent_work_on_the_clay_cores,Public full text,Author interpretation
E038,A/B inclusions,pottery sherds,L1,The sherd embedded in A has Attic composition; the sherd in B could not be matched.,"A provides an Attic-related inclusion, but this is not equivalent to proving statue provenance.",production provenance,weak/indirect support for Attic connection in A,DG-sherds,FAM-CORE-2016,DG-J16-SHERDS,Pottery-inclusion evidence; analytically distinct subcase.,S04,"p. 23, Chemical results",https://www.researchgate.net/publication/311807534_The_Riace_bronzes_recent_work_on_the_clay_cores,Public full text,Primary experimental; indirect relevance
E039,A and B,provenance,L2,Jones et al. judge a Corinth-area origin weak: mismatch in metamorphic rocks and common Corinth clay features; A has few chemical comparanda.,Contradicts Corinth as a strong provenance candidate.,production provenance,contradicts Corinth,DG-Jones-provenance,FAM-CORE-2016,DG-J16-PROV,Candidate-source comparisons share the same 2016 provenance framework.,S04,"pp. 23–24, Discussion",https://www.researchgate.net/publication/311807534_The_Riace_bronzes_recent_work_on_the_clay_cores,Public full text,Author interpretation
E040,A and B,provenance,L2,"Athens/Attica shows some geological resemblance, but Cr concentrations characteristic of Attic material are not matched by Riace cores.",Contradicts Athens/Attica as a strong provenance candidate.,production provenance,contradicts Athens,DG-Jones-provenance,FAM-CORE-2016,DG-J16-PROV,Candidate-source comparisons share the same 2016 provenance framework.,S04,"p. 24, Discussion",https://www.researchgate.net/publication/311807534_The_Riace_bronzes_recent_work_on_the_clay_cores,Public full text,Author interpretation
E041,A and B,provenance,L2,"Jones et al. conclude that, after excluding Corinth and Athens, southern Greece remains the most realistic broad source possibility.",Supports southern Greece as the preferred broad provenance region without identifying a precise source.,production provenance,supports southern Greece broadly,DG-Jones-provenance,FAM-CORE-2016,DG-J16-PROV,Broad regional conclusion; the separate statement that the precise source is not confidently established is split into E053.,S04,"p. 24, Discussion",https://www.researchgate.net/publication/311807534_The_Riace_bronzes_recent_work_on_the_clay_cores,Public full text,Author interpretation
E042,A,provenance,L2,A cores contain ophiolitic rock fragments; comparable ophiolites outcrop in the Megarid east of Corinth.,Provides a geological reason to retain the Megarid as a candidate source region.,production provenance,supports Megarid weakly,DG-Jones-provenance,FAM-CORE-2016,DG-J16-PROV,Geological Megarid-candidate statement; the missing comparative chemistry is split into E051.,S04,"pp. 23–24, Discussion",https://www.researchgate.net/publication/311807534_The_Riace_bronzes_recent_work_on_the_clay_cores,Public full text,Author interpretation grounded in petrographic evidence
E043,A and B,metal / isotopes,L0,Twelve internal metal samples reported: A = 3 bronze + 1 lead; B = 3 welding alloys + 3 bronze + 2 lead.,Defines the archaeometallurgical sample basis for metal/isotope comparison.,metal provenance / relation A-B,neutral/structural,DG-metal-isotopes,FAM-METAL-ISOTOPES,DG-METAL-SAMPLES,Sample basis of the metal/isotope contribution.,S05,"Getty abstract, sample description",https://www.getty.edu/publications/artistryinbronze/conservation-and-analysis/abstracts/,Open abstract,Conference contribution / abstract
E044,A vs B,metal / isotopes,L1/L2,"Pb-isotope comparison indicates copper of A is compatible with western Mediterranean deposits, while copper of B fits eastern Mediterranean ores.",Supports different copper-source signatures for A and B.,metal provenance / relation A-B,difference,DG-metal-isotopes,FAM-METAL-ISOTOPES,DG-METAL-CU,A/B copper-source comparison.,S05,"Getty abstract, results",https://www.getty.edu/publications/artistryinbronze/conservation-and-analysis/abstracts/,Open abstract,Conference contribution / abstract
E045,B,welding alloy / isotopes,L1/L2,Welding samples from B show an isotopic signal different from B bronze samples.,Suggests different provenance and/or later welding episode.,restoration / assembly,supports distinct welding episode,DG-metal-isotopes,FAM-METAL-ISOTOPES,DG-METAL-B-WELD,B welding-isotope comparison.,S05,"Getty abstract, results",https://www.getty.edu/publications/artistryinbronze/conservation-and-analysis/abstracts/,Open abstract,Conference contribution / abstract
E046,A and B,tenon lead / isotopes,L1/L2,Lead of the tenons of both statues has a well-defined isotopic signal compatible with a Greek source.,Supports a shared Greek-source signal for installation lead.,installation / relation A-B,supports Greek source for tenon lead,DG-metal-isotopes,FAM-METAL-ISOTOPES,DG-METAL-TENON,Tenon-lead isotope comparison.,S05,"Getty abstract, results",https://www.getty.edu/publications/artistryinbronze/conservation-and-analysis/abstracts/,Open abstract,Conference contribution / abstract
E047,A and B,surface patina,L0,"Portable EDXRF study measured patina-related elements including S, Cl, Sn, Mn, Fe, Cu, Zn and Pb.",Provides a non-destructive surface-composition evidence layer for conservation/depositional questions.,patina / depositional history,measurement basis,DG-patina,FAM-PATINA,DG-PATINA-EDXRF,Primary surface-composition layer; later depositional synthesis may reuse patina evidence.,S06,Abstract / journal metadata,https://www.sciencedirect.com/science/article/abs/pii/S0168583X14009458,Abstract public; full PDF available in project,Peer-reviewed primary study
E048,A,welding clay / geochemistry,L1,Cirrincione et al. report a strong compositional match between welding clay US2227 and CIANE 5; CIANE 5e is the closest match.,Supports geochemical compatibility with Pantanelli/Syracuse sediment samples.,assembly / installation,supports Syracuse compatibility,DG-Ciane,FAM-SYRACUSE-2026,DG-S07-CIANE-A,New A welding-clay comparison with CIANE/Pantanelli samples.,S07,"Results, Table 4 / Figs. 11–12",https://www.italianjournalofgeosciences.it/297/article-1238/a-syracusan-hypothesis-on-the-origin-of-the-riace-bronzes-new-investigations-and-a-historical-scientific-revision-of-literature-data-through-an-interdisciplinary-geological-archaeological-approach.html,Open access + PDF,Peer-reviewed primary/secondary mixed
E049,B,welding/restoration material,L1,"For B sample US650, comparison with the CIANE samples shows similarities only for certain elements, including middle rare earth elements (MREEs).",Provides only weak compositional compatibility with the CIANE/Pantanelli comparison set.,assembly / restoration,partial weak support,DG-Ciane-B,FAM-SYRACUSE-2026,DG-S07-CIANE-B,B geochemical comparison; the missing restoration-clay geochemistry is split into E052.,S07,"Results, Table 3 / Fig. 11",https://www.italianjournalofgeosciences.it/297/article-1238/a-syracusan-hypothesis-on-the-origin-of-the-riace-bronzes-new-investigations-and-a-historical-scientific-revision-of-literature-data-through-an-interdisciplinary-geological-archaeological-approach.html,Open access + PDF,Peer-reviewed geochemical comparison using literature data for the bronze sample
E050,A and B,patina / depositional history,L2/L3,2026 paper interprets surface microstratigraphy as at least two alteration phases: an earlier poorly oxygenated/deeper marine phase and a later more oxidizing/shallow or chloride-rich phase.,"Offers a structured depositional-history hypothesis, but it is an interpretation built from prior and new evidence rather than a direct measurement alone.",depositional history,supports multi-phase deposition,DG-patina-interpretation,FAM-PATINA,DG-S07-DEPOSITION,2026 synthesis depends partly on prior patina studies including EDXRF evidence; not independent of FAM-PATINA.,S07,"Discussion of patina microstratigraphy, online lines 518–526",https://www.italianjournalofgeosciences.it/297/article-1238/a-syracusan-hypothesis-on-the-origin-of-the-riace-bronzes-new-investigations-and-a-historical-scientific-revision-of-literature-data-through-an-interdisciplinary-geological-archaeological-approach.html,Open access + PDF,Interpretive synthesis; not independent of cited older patina studies
E051,A,provenance / evidence limitation,L2,Jones et al. explicitly state that comparative chemical data for the Megarid are unavailable.,This prevents a chemically grounded test of the Megarid candidate and leaves the attribution underdetermined.,production provenance / H11 testability,limitation: missing comparative chemistry,DG-Jones-provenance,FAM-CORE-2016,DG-J16-PROV-LIMIT,Explicit limitation from the same 2016 provenance framework; dependent on the E042 Megarid discussion.,S04,"pp. 23–24, Discussion",https://www.researchgate.net/publication/311807534_The_Riace_bronzes_recent_work_on_the_clay_cores,Public full text,Explicit data-availability limitation
E052,B,welding/restoration material / evidence limitation,L2,"The ICR did not publish geochemical data for the clays used in the arm restorations, so direct comparison with CIANE 5 or other Pantanelli levels is not possible.",Directly limits testing of Syracuse-area compatibility for the restored arm of Bronze B; further analysis is required.,assembly / restoration / H19 testability,limitation: missing restoration-clay geochemistry,DG-Ciane-B,FAM-SYRACUSE-2026,DG-S07-CIANE-B-LIMIT,Explicit limitation in the 2026 discussion; dependent on the same Bronze B/Syracuse comparison framework as E049.,S07,Discussion on Bronze B restoration clays,https://www.italianjournalofgeosciences.it/297/article-1238/a-syracusan-hypothesis-on-the-origin-of-the-riace-bronzes-new-investigations-and-a-historical-scientific-revision-of-literature-data-through-an-interdisciplinary-geological-archaeological-approach.html,Open access + PDF,Explicit data-availability limitation / author statement
E053,A and B,provenance / evidence limitation,L2,Jones et al. state that the precise source (or sources) of A and B have not yet been confidently established.,Explicitly limits confidence in specific provenance assignments even after the broad southern-Greece inference.,production provenance / specific-source testability,limitation: precise source unresolved,DG-Jones-provenance,FAM-CORE-2016,DG-J16-PROV-LIMIT-GENERAL,General specific-source limitation from the same 2016 comparative provenance framework.,S04,"p. 24, Discussion",https://www.researchgate.net/publication/311807534_The_Riace_bronzes_recent_work_on_the_clay_cores,Public full text,Explicit interpretive limitation
E054,A,provenance,L1/L2,"The earlier identification of serpentinite in A, which could match serpentine outcrops east of Argos, is not supported by the 2016 optical and SEM results: ophiolitic fragments were observed, but not serpentine.",Weakens the specific serpentinite-based argument for an Argos/Argolid source.,production provenance,opposes Argos serpentinite argument,DG-Jones-provenance,FAM-CORE-2016,DG-J16-ARGOS-SEM,Same 2016 provenance study; this is a distinct Argos-specific optical/SEM result.,S04,"p. 24, Discussion",https://www.researchgate.net/publication/311807534_The_Riace_bronzes_recent_work_on_the_clay_cores,Public full text,Primary analytical result + provenance interpretation
